trial	response	correct_response	accuracy	reaction_time
1	7	7	1	2562
2	14	10	0	1780
3	6	9	0	1262
4	11	7	0	1540
5	12	6	0	2033
6	n/a	9	0	n/a
7	26	14	0	2047
8	n/a	15	0	n/a
9	39	10	0	1811
10	n/a	8	0	n/a
11	n/a	16	0	n/a
12	n/a	13	0	n/a
13	n/a	10	0	n/a
14	48	9	0	1930
15	52	8	0	2496
16	60	13	0	2200
17	61	9	0	789
18	67	7	0	1549
19	70	8	0	2443
20	68	9	0	2875
21	79	12	0	1168
22	80	14	0	1718
23	84	13	0	769
24	89	9	0	1416
25	90	7	0	773
26	94	8	0	1167
27	n/a	10	0	n/a
28	n/a	12	0	n/a
29	82	11	0	2355
30	89	8	0	1376
